web-scraper-order,web-scraper-start-url,venue,venue-href,tabs,tabs-href,Pos,Num,Driver,Car,Time,Gap,Laps
"1601159189-1558","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1053/italy/starting-grid.html","14","5","Sebastian
                    Vettel
                    VET","Ferrari","1:16.858","null","null"
"1601159210-1698","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-3.html","10","11","Sergio
                    Perez
                    PER","Racing Point BWT Mercedes","1:20.897","+0.808s","13"
"1601159358-2489","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1047/hungary/starting-grid.html","9","55","Carlos
                    Sainz
                    SAI","McLaren Renault","1:15.027","null","null"
"1601159212-1722","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1052/italy/qualifying.html","14","7","Kimi
                    Räikkönen
                    RAI","Alfa Romeo Racing Ferrari","null","null","14"
"1601159385-2663","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Styria","https://www.formula1.com/en/results.html/2020/races/1046/austria/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1046/austria/pit-stop-summary.html","null","10","Pierre
                    Gasly
                    GAS","AlphaTauri Honda","22.280","null","null"
"1601159355-2467","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1047/hungary/qualifying.html","7","33","Max
                    Verstappen
                    VER","Red Bull Racing Honda","null","null","21"
"1601159243-1887","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1051/belgium/starting-grid.html","2","77","Valtteri
                    Bottas
                    BOT","Mercedes","1:41.763","null","null"
"1601159239-1881","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1051/belgium/qualifying.html","16","7","Kimi
                    Räikkönen
                    RAI","Alfa Romeo Racing Ferrari","null","null","6"
"1601159246-1918","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1051/belgium/pit-stop-summary.html","null","4","Lando
                    Norris
                    NOR","McLaren Renault","23.046","null","null"
"1601159375-2588","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Styria","https://www.formula1.com/en/results.html/2020/races/1046/austria/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1046/austria/practice-2.html","3","11","Sergio
                    Perez
                    PER","Racing Point BWT Mercedes","1:03.877","+0.217s","43"
